r,g,b,hex,ordem
232,230,218,#E8E6DA,1
182,44,17,#B62C11,19
60,112,144,#3C7090,41
112,105,80,#706950,75
214,171,46,#D6AB2E,93
170,142,100,#AA8E64,94
207,178,128,#CFB280,95
177,110,47,#B16E2F,96
115,68,33,#734421,101
65,73,73,#414949,104
61,46,31,#3D2E1F,104
127,136,128,#7F8880,107
162,169,166,#A2A9A6,108
213,204,179,#D5CCB3,109
25,20,16,#191410,119
