r,g,b,hex,ordem
75,108,139,#4B6C8B,41
110,107,81,#6E6B51,75
216,184,87,#D8B857,90
186,144,64,#BA9040,93
220,203,151,#DCCB97,95
154,106,48,#9A6A30,96
142,135,105,#8E8769,99
183,167,125,#B7A77D,100
109,75,36,#6D4B24,101
58,48,33,#3A3021,104
73,76,63,#494C3F,104
227,225,209,#E3E1D1,110
184,190,183,#B8BEB7,113
141,158,157,#8D9E9D,115
27,21,14,#1B150E,119
