r,g,b,hex,ordem
242,239,229,#F2EFE5,1
180,73,48,#B44930,18
124,56,33,#7C3821,78
189,141,92,#BD8D5C,94
209,177,129,#D1B181,95
150,107,69,#966B45,96
139,123,102,#8B7B66,99
159,150,134,#9F9686,100
108,87,71,#6C5747,101
77,61,51,#4D3D33,104
55,38,30,#37261E,104
222,210,185,#DED2B9,110
186,182,172,#BAB6AC,114
86,135,134,#568786,116
22,17,14,#16110E,119
