r,g,b,hex,ordem
231,230,226,#E7E6E2,1
238,204,21,#EECC15,8
196,98,47,#C4622F,18
193,31,21,#C11F15,19
43,76,156,#2B4C9C,39
107,140,187,#6B8CBB,45
227,205,164,#E3CDA4,83
214,169,90,#D6A95A,88
150,128,101,#968065,99
116,83,54,#745336,101
66,53,45,#42352D,104
102,101,101,#666565,106
172,161,152,#ACA198,108
195,194,199,#C3C2C7,112
27,20,20,#1B1414,119
