r,g,b,hex,ordem
238,233,224,#EEE9E0,1
217,162,82,#D9A252,88
197,122,56,#C57A38,93
172,134,90,#AC865A,94
225,202,150,#E1CA96,95
193,170,128,#C1AA80,95
127,114,92,#7F725C,97
112,83,53,#705335,101
159,90,48,#9F5A30,102
79,56,41,#4F3829,104
137,136,147,#898893,107
213,205,194,#D5CDC2,110
175,174,176,#AFAEB0,114
75,87,111,#4B576F,117
40,34,27,#28221B,119
