r,g,b,ordem,hex,completitionYear
115,96,89,98,#736059,1487
139,90,51,102,#8B5A33,1487
85,56,45,104,#55382D,1487
234,219,196,110,#EADBC4,1487
36,28,28,119,#241C1C,1487
15,12,14,119,#0F0C0E,1487
240,231,222,1,#F0E7DE,1488
149,70,34,78,#954622,1488
224,176,127,84,#E0B07F,1488
188,133,90,94,#BC855A,1488
140,111,86,96,#8C6F56,1488
166,150,137,100,#A69689,1488
103,79,62,101,#674F3E,1488
65,44,35,104,#412C23,1488
219,200,176,109,#DBC8B0,1488
29,21,17,119,#1D1511,1488
245,232,208,1,#F5E8D0,1489
169,85,45,78,#A9552D,1489
192,130,87,94,#C08257,1489
221,186,146,95,#DDBA92,1489
106,95,81,98,#6A5F51,1489
109,49,27,101,#6D311B,1489
68,60,56,104,#443C38,1489
137,138,124,107,#898A7C,1489
16,10,9,119,#100A09,1489
51,35,28,119,#33231C,1489
234,228,226,1,#EAE4E2,1490
70,150,121,63,#469679,1490
207,197,76,90,#CFC54C,1490
149,123,93,99,#957B5D,1490
172,157,132,100,#AC9D84,1490
107,89,67,101,#6B5943,1490
164,87,44,102,#A4572C,1490
80,54,38,104,#503626,1490
201,191,173,109,#C9BFAD,1490
37,28,19,119,#251C13,1490
177,145,104,94,#B19168,1491
142,109,84,96,#8E6D54,1491
106,81,67,101,#6A5143,1491
87,22,27,104,#57161B,1491
70,56,53,104,#463835,1491
113,123,156,107,#717B9C,1491
218,220,218,110,#DADCDA,1491
189,182,166,114,#BDB6A6,1491
42,32,35,119,#2A2023,1491
17,12,20,119,#110C14,1491
236,237,230,1,#ECEDE6,1492
195,73,47,18,#C3492F,1492
242,207,134,83,#F2CF86,1492
208,149,92,88,#D0955C,1492
148,122,82,96,#947A52,1492
116,96,64,97,#746040,1492
75,64,42,104,#4B402A,1492
176,168,146,108,#B0A892,1492
215,210,194,110,#D7D2C2,1492
29,28,14,119,#1D1C0E,1492
138,56,31,78,#8A381F,1493
184,154,106,94,#B89A6A,1493
154,120,75,96,#9A784B,1493
122,89,57,97,#7A5939,1493
93,63,41,103,#5D3F29,1493
104,34,23,103,#682217,1493
71,37,26,104,#47251A,1493
201,198,201,112,#C9C6C9,1493
46,26,21,119,#2E1A15,1493
20,9,10,119,#14090A,1493
245,245,236,1,#F5F5EC,1495
185,84,60,18,#B9543C,1495
